Categoría: Juegos

País,Destiny 2: (1/1/17 - 23/9/22)
Guam,
Gibraltar,
Estados Unidos,100
Japón,95
Canadá,91
Islas Marianas del Norte,
Isla de Man,
Mónaco,
Guernesey,
Reino Unido,76
Islas Caimán,
Australia,75
Bermudas,
Alemania,71
Puerto Rico,66
Jersey,
Suecia,58
Nueva Zelanda,56
Finlandia,55
Islandia,
Noruega,53
Austria,53
Islas Aland,
Singapur,51
Macao,
Islas Vírgenes de EE. UU.,
Luxemburgo,
Reunión,
Aruba,
Irlanda,40
Francia,40
Países Bajos,38
Barbados,
Trinidad y Tobago,
Dinamarca,36
Brunéi,
Hong Kong,35
Estonia,
San Cristóbal y Nieves,
Bahamas,
Bélgica,33
Suiza,33
China,
Portugal,31
Santa Elena,
Maldivas,
Malta,
Hungría,28
Belice,
Taiwán,28
Yibuti,
Martinica,
Corea del Sur,26
Liechtenstein,
Baréin,
Kuwait,
Curazao,
Chipre,
Chequia,20
Costa Rica,
Letonia,
Lituania,
Catar,
Sudáfrica,20
Rumanía,18
Rusia,18
Nueva Caledonia,
Croacia,
Guadalupe,
Italia,16
Eslovenia,
Guyana,
Antigua y Barbuda,
Malasia,16
Bulgaria,
Emiratos Árabes Unidos,16
España,15
Polinesia Francesa,
Eslovaquia,
Panamá,
Grecia,15
Granada,
Andorra,
Filipinas,15
Polonia,15
Santa Lucía,
Surinam,
El Salvador,
Chile,13
Jamaica,
Arabia Saudí,11
Túnez,
Serbia,
Israel,
Líbano,
Mauricio,
Afganistán,
Macedonia del Norte,
Botsuana,
Moldavia,
México,10
Bosnia y Herzegovina,
Bielorrusia,
Brasil,10
Georgia,
Honduras,
Ucrania,8
Argentina,8
Uruguay,
Myanmar (Birmania),
República Dominicana,
Omán,
Guayana Francesa,
Namibia,
Palestina,
Madagascar,
Montenegro,
Laos,
Jordania,
Guatemala,
Colombia,6
Tailandia,6
Kosovo,
Camboya,
Libia,
Irak,
Côte d’Ivoire,
Argelia,
Albania,
Perú,
Nicaragua,
Kazajistán,
Bangladés,
Ecuador,
Turquía,5
Cuba,
Zimbabue,
Mongolia,
Pakistán,
Egipto,
Paraguay,
Marruecos,
Kirguistán,
Vietnam,5
Bolivia,
República Democrática del Congo,
Camerún,
Venezuela,
Sri Lanka,
Zambia,
Azerbaiyán,
Armenia,
Nepal,
Mozambique,
Indonesia,3
Senegal,
Ghana,
Benín,
Irán,
Etiopía,
Kenia,
Sudán,
Siria,
India,1
Uganda,
Yemen,
Nigeria,
Tanzania,
Uzbekistán,
Isla de Navidad,
Micronesia,
San Pedro y Miquelón,
Caribe neerlandés,
Santo Tomé y Príncipe,
Samoa Americana,
Tonga,
Islas Vírgenes Británicas,
Guinea Ecuatorial,
Sint Maarten,
San Marino,
Dominica,
San Bartolomé,
Seychelles,
Groenlandia,
Congo,
Lesoto,
Gabón,
Fiyi,
Timor-Leste,
Sierra Leona,
Malaui,
Esuatini,
Bután,
Togo,
Haití,
Mauritania,
Turkmenistán,
Angola,
Anguila,
Antártida,
Territorios Australes Franceses,
Burundi,
Burkina Faso,
Isla Bouvet,
República Centroafricana,
Islas Cocos,
Islas Cook,
Comoras,
Cabo Verde,
Eritrea,
Sáhara Occidental,
Islas Malvinas (Islas Falkland),
Islas Feroe,
Guinea,
Gambia,
Guinea-Bisáu,
Islas Heard y McDonald,
Territorio Británico del Océano Índico,
Kiribati,
Liberia,
San Martín,
Islas Marshall,
Mali,
Montserrat,
Mayotte,
Níger,
Isla Norfolk,
Niue,
Nauru,
Islas Pitcairn,
Palaos,
Papúa Nueva Guinea,
Corea del Norte,
Ruanda,
Islas Georgia del Sur y Sandwich del Sur,
Svalbard y Jan Mayen,
Islas Salomón,
Somalia,
Sudán del Sur,
Islas Turcas y Caicos,
Chad,
Tayikistán,
Tokelau,
Tuvalu,
Islas menores alejadas de EE. UU.,
Ciudad del Vaticano,
San Vicente y las Granadinas,
Vanuatu,
Wallis y Futuna,
Samoa,
