Categoría: Juegos

Mes,Destiny 2: (Todo el mundo)
2017-01,2
2017-02,2
2017-03,4
2017-04,5
2017-05,8
2017-06,7
2017-07,18
2017-08,16
2017-09,100
2017-10,55
2017-11,37
2017-12,29
2018-01,14
2018-02,7
2018-03,6
2018-04,6
2018-05,16
2018-06,15
2018-07,12
2018-08,16
2018-09,46
2018-10,22
2018-11,33
2018-12,19
2019-01,14
2019-02,8
2019-03,10
2019-04,7
2019-05,8
2019-06,17
2019-07,15
2019-08,13
2019-09,12
2019-10,40
2019-11,22
2019-12,18
2020-01,14
2020-02,11
2020-03,14
2020-04,15
2020-05,13
2020-06,16
2020-07,14
2020-08,13
2020-09,11
2020-10,11
2020-11,18
2020-12,15
2021-01,11
2021-02,11
2021-03,10
2021-04,7
2021-05,13
2021-06,9
2021-07,9
2021-08,12
2021-09,14
2021-10,11
2021-11,8
2021-12,11
2022-01,11
2022-02,15
2022-03,15
2022-04,10
2022-05,10
2022-06,11
2022-07,10
2022-08,14
