Categoría: Juegos

País,Destiny 2: (1/1/16 - 30/9/22)
Mónaco,
Guernesey,
Jersey,
Isla de Man,
Guam,
Estados Unidos,100
Noruega,100
Reino Unido,97
Gibraltar,
Australia,90
Canadá,90
Alemania,87
San Cristóbal y Nieves,
Puerto Rico,82
Finlandia,75
Dinamarca,75
Suecia,75
Islandia,
Islas Caimán,
Nueva Zelanda,70
Austria,70
Liechtenstein,
Japón,55
Irlanda,55
Países Bajos,52
Luxemburgo,
Aruba,
Bélgica,50
Suiza,50
Portugal,47
Islas Marianas del Norte,
Singapur,47
Bermudas,
Bahamas,
Macao,
Estonia,
Malta,
Taiwán,45
Francia,42
Hungría,42
Italia,40
Trinidad y Tobago,
Andorra,
Hong Kong,37
Irán,
Barbados,
Curazao,
Eslovenia,
Antigua y Barbuda,
Chequia,35
Reunión,
Islas Feroe,
Lituania,
Croacia,32
Grecia,30
Bulgaria,30
Islas Vírgenes de EE. UU.,
Sudáfrica,30
Letonia,
Martinica,
China,
Eslovaquia,27
Brunéi,
Nueva Caledonia,
Guadalupe,
España,25
Rusia,25
Rumanía,25
Guayana Francesa,
Polinesia Francesa,
Chipre,
Kuwait,22
Costa Rica,22
Baréin,
Polonia,22
Santa Lucía,
Emiratos Árabes Unidos,20
Israel,17
Panamá,
Bielorrusia,17
Granada,
Surinam,
Catar,
Serbia,15
Maldivas,
Namibia,
Mauricio,
Chile,15
Guyana,
Jamaica,
Arabia Saudí,12
Malasia,12
Ucrania,12
Santa Elena,
Corea del Sur,12
Argentina,10
Brasil,10
Bosnia y Herzegovina,
Montenegro,
El Salvador,
Uruguay,
Macedonia del Norte,
Moldavia,
Mozambique,
Omán,
Mongolia,
Jordania,
Georgia,
México,7
República Dominicana,
Filipinas,7
Benín,
Paraguay,
Honduras,
Afganistán,
Côte d’Ivoire,
Túnez,
Colombia,5
Líbano,
Belice,
Nigeria,
Guatemala,
Nicaragua,
Ghana,
Zimbabue,
Zambia,
Venezuela,
Libia,
Camerún,
Perú,5
Madagascar,
Turquía,5
Myanmar (Birmania),
Ecuador,
Armenia,
Angola,
Albania,
Tailandia,5
Bolivia,
Kazajistán,
Kenia,
Kosovo,
Palestina,
Marruecos,
República Democrática del Congo,
Irak,2
Uganda,
Argelia,
Egipto,2
Sri Lanka,
Botsuana,
Bangladés,
Senegal,
Pakistán,2
Indonesia,2
Sudán,
Azerbaiyán,
Kirguistán,
Nepal,
Vietnam,2
Uzbekistán,
India,2
Camboya,
Tanzania,
Etiopía,
Siria,
Yemen,
Laos,
Ciudad del Vaticano,
Isla Norfolk,
Eritrea,
San Martín,
Sint Maarten,
San Marino,
Groenlandia,
Liberia,
Caribe neerlandés,
Seychelles,
Samoa,
Samoa Americana,
Malaui,
Burundi,
San Bartolomé,
Guinea Ecuatorial,
Turkmenistán,
Fiyi,
Timor-Leste,
Burkina Faso,
Mali,
Haití,
Ruanda,
Somalia,
Anguila,
Islas Aland,
Antártida,
Territorios Australes Franceses,
Bután,
Isla Bouvet,
República Centroafricana,
Islas Cocos,
Congo,
Islas Cook,
Comoras,
Cabo Verde,
Cuba,
Isla de Navidad,
Yibuti,
Dominica,
Sáhara Occidental,
Islas Malvinas (Islas Falkland),
Micronesia,
Gabón,
Guinea,
Gambia,
Guinea-Bisáu,
Islas Heard y McDonald,
Territorio Británico del Océano Índico,
Kiribati,
Lesoto,
Islas Marshall,
Mauritania,
Montserrat,
Mayotte,
Níger,
Niue,
Nauru,
Islas Pitcairn,
Palaos,
Papúa Nueva Guinea,
Corea del Norte,
Islas Georgia del Sur y Sandwich del Sur,
Svalbard y Jan Mayen,
Islas Salomón,
Sierra Leona,
San Pedro y Miquelón,
Sudán del Sur,
Santo Tomé y Príncipe,
Esuatini,
Islas Turcas y Caicos,
Chad,
Togo,
Tayikistán,
Tokelau,
Tonga,
Tuvalu,
Islas menores alejadas de EE. UU.,
San Vicente y las Granadinas,
Islas Vírgenes Británicas,
Vanuatu,
Wallis y Futuna,
