Categoría: Juegos

Mes,Destiny 2: (Todo el mundo)
2016-01,1
2016-02,1
2016-03,1
2016-04,1
2016-05,1
2016-06,1
2016-07,1
2016-08,1
2016-09,1
2016-10,1
2016-11,1
2016-12,1
2017-01,1
2017-02,1
2017-03,4
2017-04,9
2017-05,27
2017-06,15
2017-07,19
2017-08,14
2017-09,100
2017-10,49
2017-11,30
2017-12,25
2018-01,13
2018-02,8
2018-03,6
2018-04,7
2018-05,14
2018-06,13
2018-07,10
2018-08,15
2018-09,48
2018-10,20
2018-11,35
2018-12,18
2019-01,13
2019-02,9
2019-03,11
2019-04,8
2019-05,9
2019-06,16
2019-07,15
2019-08,12
2019-09,11
2019-10,39
2019-11,25
2019-12,19
2020-01,14
2020-02,12
2020-03,15
2020-04,15
2020-05,13
2020-06,17
2020-07,14
2020-08,11
2020-09,11
2020-10,11
2020-11,17
2020-12,15
2021-01,9
2021-02,11
2021-03,10
2021-04,9
2021-05,11
2021-06,10
2021-07,9
2021-08,11
2021-09,15
2021-10,12
2021-11,9
2021-12,11
2022-01,10
2022-02,14
2022-03,14
2022-04,9
2022-05,11
2022-06,12
2022-07,10
2022-08,15
2022-09,18
