Nombre,Temporada
Sweet Business,1
Sturm,1
Vigilance Wing,1
MIDA Multi-Tool,1
Rat King,1
Hard Light,1
Merciless,1
Fighting Lion,1
Sunshot,1
Graviton Lance,1
Skyburner's Oath,1
Borealis,1
Riskrunner,1
Coldheart,1
The Prospector,1
The Wardcliff Coil,1
Legend of Acrius,1
Legend of Acrius,1
Tractor Cannon,1
D.A.R.C.I.,1
Crown-Splitter,1
Quickfang,1
Eternity's Edge,1
Ghost Primus,1
Guiding Star,1
Halfdan-D,1
Origin Story,1
Scathelocke,1
The Forward Path,1
Bad News,1
Better Devils,1
Dire Promise,1
Judgment,1
Midnight Coup,1
Pribina-D,1
The Old Fashioned,1
The Steady Hand,1
True Prophecy,1
Disrespectful Stare,1
Eystein-D,1
Lincoln Green,1
Nightshade,1
Relentless,1
The Time-Worn Spire,1
Three Graves,1
Call to Serve,1
Does Not Compute,1
Frontier Justice,1
Good Counsel IX,1
Haunted Earth,1
Nameless Midnight,1
Song of Justice VI,1
The Guiding Sight,1
Baligant,1
Hawthorne's Field-Forged Shotgun,1
Athelflad-D,1
Controlling Vision,1
Enigma's Draw,1
Minimum Distance,1
Alone as a god,1
Shepherd's Watch,1
Adjudicator,1
Antiope-D,1
Escape Velocity,1
The Showrunner,1
Galliard-42,1
Jiangshi AR4,1
Martyr's Make,1
Perseverance,1
Prosecutor,1
Restoration VIII,1
Solemn Hymn,1
The Number,1
Uriel's Gift,1
Valakadyn,1
Cartesian Coordinate,1
Critical Sass,1
Erentil FR4,1
Main Ingredient,1
Nox Echo III,1
Shock and Awe,1
The Wizened Rebuke,1
Timelines' Vertex,1
Flash and Thunder,1
Truthteller,1
Annual Skate,1
Daedalus Code,1
Imset HC4,1
Minuet-42,1
Older Sister III,1
Shattered Peace,1
Agenda 5,1
Cadenza-43,1
Heart of Time,1
Inaugural Address,1
Last Perdition,1
Nergal PR4,1
Swift Ride,1
Black Scorpion-4sr,1
Conspirator,1
Contingency Plan,1
Manannan SR4,1
Pleiades Corrector,1
Seven-Six-Five,1
Tango-45,1
The End,1
Tone Patrol,1
A Sudden Death,1
Deadpan Delivery,1
"First In, Last Out",1
Good Bone Structure,1
Gravity Slingshot,1
Retrofuturist,1
Somerled-D,1
Unification VII,1
A Swift Verdict,1
Dead Man Walking,1
Drang,1
Eleventh Hour,1
Etana SI4,1
Interregnum XVI,1
Last Hope,1
The Fool's Remedy,1
The Last Dance,1
The Rattler,1
Timecard,1
Urchin-3si,1
A Single Clap,1
Copperhead-4sn,1
Elegy-49,1
Eye of Foresight,1
Gentleman Vagabond,1
Maxim XI,1
Persuader,1
Show of Force,1
The Long Walk,1
The Mornin' Comes,1
Veleda-D,1
Widow's Bite,1
Death Adder,1
Foggy Notion,1
MIDA Mini-Tool,1
Mob Justice,1
Out of Options,1
Phosphorus MG4,1
Red Mamba,1
Resonance-42,1
Royal Dispensation II,1
Stochastic Variable,1
The Hero's Burden,1
Acantha-D,1
Berenger's Memory,1
Bushwhacker,1
