Nombre,Temporada
,
Celestial Nighthawk,1
Celestial Nighthawk,1
Foetracer,1
Foetracer,1
Knucklehead Radar,1
Knucklehead Radar,1
Mechaneer's Tricksleeves,1
Mechaneer's Tricksleeves,1
Young Ahamkara's Spine,1
Young Ahamkara's Spine,1
Lucky Raspberry,1
Lucky Raspberry,1
Raiden Flux,1
Raiden Flux,1
The Dragon's Shadow,1
The Dragon's Shadow,1
Lucky Pants,1
Lucky Pants,1
Orpheus Rig,1
Orpheus Rig,1
St0mp-EE5,1
St0mp-EE5,1
Anti-Extinction Mask,1
Anti-Extinction Mask,1
Dead End Cure 2.1,1
Dead End Cure 2.1,1
Dead End Cure 2.1,1
Errant Knight 1.0,1
Errant Knight 1.0,1
Errant Knight 1.0,1
Exodus Down Mask,1
Exodus Down Mask,1
Floating Cowl,1
Floating Cowl,1
Flowing Cowl,1
Flowing Cowl,1
Frumious Mask,1
Frumious Mask,1
Frumious Mask,1
Gensym Knight Casque,1
Gensym Knight Casque,1
Gensym Knight Casque,1
Helm of the Ace-Defiant,1
Helm of the Ace-Defiant,1
Helm of the Ace-Defiant,1
Icarus Drifter Mask,1
Icarus Drifter Mask,1
Icarus Drifter Mask,1
Icarus Drifter Mask,1
Iron Truage Casque,1
Iron Truage Casque,1
Iron Truage Casque,1
Iron Truage Casque,1
Lost Pacific Mask,1
Lost Pacific Mask,1
Lost Pacific Mask,1
Mask of Optimacy,1
Mask of Optimacy,1
Mask of the Emperor's Agent,1
Mask of the Emperor's Agent,1
Mask of the Emperor's Agent,1
Road Complex AA1,1
Road Complex AA1,1
Road Complex AA1,1
Simulator Mask,1
Simulator Mask,1
Sovereign Mask,1
Sovereign Mask,1
Swordflight 4.1,1
Swordflight 4.1,1
Swordflight 4.1,1
The Took Offense,1
The Took Offense,1
The Took Offense,1
Wildwood Mask,1
Wildwood Mask,1
Anti-Extinction Grasps,1
Anti-Extinction Grasps,1
Arms of Optimacy,1
Arms of Optimacy,1
Dead End Cure 2.1,1
Dead End Cure 2.1,1
Dead End Cure 2.1,1
Errant Knight 1.0,1
Errant Knight 1.0,1
Errant Knight 1.0,1
Exodus Down Grips,1
Exodus Down Grips,1
Floating Grips,1
Floating Grips,1
Flowing Grips,1
Flowing Grips,1
Frumious Grips,1
Frumious Grips,1
Frumious Grips,1
Gensym Knight Grips,1
Gensym Knight Grips,1
Gensym Knight Grips,1
Gloves of the Emperor's Agent,1
Gloves of the Emperor's Agent,1
Gloves of the Emperor's Agent,1
Grips of the Ace-Defiant,1
Grips of the Ace-Defiant,1
Grips of the Ace-Defiant,1
Icarus Drifter Grips,1
Icarus Drifter Grips,1
Icarus Drifter Grips,1
Icarus Drifter Grips,1
Iron Truage Grips,1
Iron Truage Grips,1
Iron Truage Grips,1
Iron Truage Grips,1
Lost Pacific Grips,1
Lost Pacific Grips,1
Lost Pacific Grips,1
Road Complex AA1,1
Road Complex AA1,1
Road Complex AA1,1
Simulator Grips,1
Simulator Grips,1
Sovereign Grips,1
Sovereign Grips,1
Swordflight 4.1,1
Swordflight 4.1,1
Swordflight 4.1,1
The Took Offense,1
The Took Offense,1
The Took Offense,1
Wildwood Grips,1
Wildwood Grips,1
Anti-Extinction Vest,1
Anti-Extinction Vest,1
Dead End Cure 2.1,1
Dead End Cure 2.1,1
Dead End Cure 2.1,1
Errant Knight 1.0,1
Errant Knight 1.0,1
Errant Knight 1.0,1
Exodus Down Vest,1
Exodus Down Vest,1
Floating Vest,1
Floating Vest,1
Flowing Vest,1
Flowing Vest,1
Frumious Vest,1
Frumious Vest,1
Frumious Vest,1
Gensym Knight Cuirass,1
Gensym Knight Cuirass,1
Gensym Knight Cuirass,1
Icarus Drifter Vest,1
Icarus Drifter Vest,1
Icarus Drifter Vest,1
Icarus Drifter Vest,1
Iron Truage Vest,1
Iron Truage Vest,1
Iron Truage Vest,1
Iron Truage Vest,1
Lost Pacific Vest,1
Lost Pacific Vest,1
Lost Pacific Vest,1
Road Complex AA1,1
Road Complex AA1,1
Road Complex AA1,1
Simulator Vest,1
Simulator Vest,1
Sovereign Vest,1
Sovereign Vest,1
Swordflight 4.1,1
Swordflight 4.1,1
Swordflight 4.1,1
The Took Offense,1
The Took Offense,1
The Took Offense,1
Vest of Optimacy,1
Vest of Optimacy,1
Vest of the Ace-Defiant,1
Vest of the Ace-Defiant,1
Vest of the Ace-Defiant,1
Vest of the Emperor's Agent,1
Vest of the Emperor's Agent,1
Vest of the Emperor's Agent,1
Wildwood Vest,1
Wildwood Vest,1
Anti-Extinction Legs,1
Anti-Extinction Legs,1
Boots of the Ace-Defiant,1
Boots of the Ace-Defiant,1
Boots of the Ace-Defiant,1
Boots of the Emperor's Agent,1
Boots of the Emperor's Agent,1
Boots of the Emperor's Agent,1
Dead End Cure 2.1,1
Dead End Cure 2.1,1
Dead End Cure 2.1,1
Errant Knight 1.0,1
Errant Knight 1.0,1
Errant Knight 1.0,1
Exodus Down Strides,1
Exodus Down Strides,1
Floating Boots,1
Floating Boots,1
Flowing Boots,1
Flowing Boots,1
Frumious Strides,1
Frumious Strides,1
Frumious Strides,1
Gensym Knight Strides,1
Gensym Knight Strides,1
Gensym Knight Strides,1
Icarus Drifter Legs,1
Icarus Drifter Legs,1
Icarus Drifter Legs,1
Icarus Drifter Legs,1
Iron Truage Boots,1
Iron Truage Boots,1
Iron Truage Boots,1
Iron Truage Boots,1
Legs of Optimacy,1
Legs of Optimacy,1
Lost Pacific Strides,1
Lost Pacific Strides,1
Lost Pacific Strides,1
Road Complex AA1,1
Road Complex AA1,1
Road Complex AA1,1
Simulator Boots,1
Simulator Boots,1
Sovereign Boots,1
Sovereign Boots,1
Swordflight 4.1,1
Swordflight 4.1,1
Swordflight 4.1,1
The Took Offense,1
The Took Offense,1
The Took Offense,1
Wildwood Strides,1
Wildwood Strides,1
A Cloak Called Home,1
A Cloak Called Home,1
A Cloak Called Home,1
Airhead Hood,1
Airhead Hood,1
Airhead Hood,1
Be Thy Guide,1
Be Thy Guide,1
Be Thy Guide,1
Binary Phoenix Cloak,1
Binary Phoenix Cloak,1
Binary Phoenix Cloak,1
Cloak Judgment,1
Cloak Judgment,1
Cloak of Optimacy,1
Cloak of Optimacy,1
Cloak of the Emperor's Agent,1
Cloak of the Emperor's Agent,1
Cloak of the Emperor's Agent,1
Cloak Relentless,1
Cloak Relentless,1
Coronation Cloak,1
Coronation Cloak,1
Entanglement Cloak,1
Entanglement Cloak,1
Exodus Down Cloak,1
Exodus Down Cloak,1
Far Gone Hood,1
Far Gone Hood,1
Far Gone Hood,1
Frumious Cloak,1
Frumious Cloak,1
Frumious Cloak,1
Gensym Knight Cloak,1
Gensym Knight Cloak,1
Gensym Knight Cloak,1
Icarus Drifter Cape,1
Icarus Drifter Cape,1
Icarus Drifter Cape,1
Icarus Drifter Cape,1
Lost Pacific Cape,1
