Nombre,Temporada
,
An Insurmountable Skullfort,1
An Insurmountable Skullfort,1
Mask of the Quiet One,1
Mask of the Quiet One,1
ACD/0 Feedback Fence,1
ACD/0 Feedback Fence,1
Doom Fang Pauldron,1
Doom Fang Pauldron,1
Synthoceps,1
Synthoceps,1
Actium War Rig,1
Actium War Rig,1
Crest of Alpha Lupi,1
Crest of Alpha Lupi,1
Hallowfire Heart,1
Hallowfire Heart,1
Dunemarchers,1
Dunemarchers,1
Lion Rampant,1
Lion Rampant,1
Pacekeepers,1
Pacekeepers,1
Annihilating Helm,1
Annihilating Helm,1
Anti-Extinction Helm,1
Anti-Extinction Helm,1
Crushing Helm,1
Crushing Helm,1
Devastation Complex,1
Devastation Complex,1
Devastation Complex,1
Exodus Down Helm,1
Exodus Down Helm,1
Gensym Knight Helm,1
Gensym Knight Helm,1
Gensym Knight Helm,1
Helm of Optimacy,1
Helm of Optimacy,1
Helm of the Emperor's Champion,1
Helm of the Emperor's Champion,1
Helm of the Emperor's Champion,1
Iron Truage Helm,1
Iron Truage Helm,1
Iron Truage Helm,1
Iron Truage Helm,1
Kerak Type 2,1
Kerak Type 2,1
Kerak Type 2,1
Lost Pacific Helm,1
Lost Pacific Helm,1
Lost Pacific Helm,1
Mask of Rull,1
Mask of Rull,1
Mask of Rull,1
Noble Constant Type 2,1
Noble Constant Type 2,1
Noble Constant Type 2,1
Phoenix Strife Type 0,1
Phoenix Strife Type 0,1
Phoenix Strife Type 0,1
Retro-Grade TG2,1
Retro-Grade TG2,1
Retro-Grade TG2,1
Simulator Helm,1
Simulator Helm,1
Sovereign Helm,1
Sovereign Helm,1
Terra Concord Helm,1
Terra Concord Helm,1
Terra Concord Helm,1
Terra Concord Helm,1
The Shelter in Place,1
The Shelter in Place,1
The Shelter in Place,1
Wildwood Helm,1
Wildwood Helm,1
Annihilating Guard,1
Annihilating Guard,1
Anti-Extinction Gauntlets,1
Anti-Extinction Gauntlets,1
Arms of Optimacy,1
Arms of Optimacy,1
Crushing Guard,1
Crushing Guard,1
Devastation Complex,1
Devastation Complex,1
Devastation Complex,1
Exodus Down Gauntlets,1
Exodus Down Gauntlets,1
Gauntlets of Rull,1
Gauntlets of Rull,1
Gauntlets of Rull,1
Gauntlets of the Emperor's Champion,1
Gauntlets of the Emperor's Champion,1
Gauntlets of the Emperor's Champion,1
Gensym Knight Gauntlets,1
Gensym Knight Gauntlets,1
Gensym Knight Gauntlets,1
Iron Truage Gauntlets,1
Iron Truage Gauntlets,1
Iron Truage Gauntlets,1
Iron Truage Gauntlets,1
Kerak Type 2,1
Kerak Type 2,1
Kerak Type 2,1
Lost Pacific Gauntlets,1
Lost Pacific Gauntlets,1
Lost Pacific Gauntlets,1
Noble Constant Type 2,1
Noble Constant Type 2,1
Noble Constant Type 2,1
Phoenix Strife Type 0,1
Phoenix Strife Type 0,1
Phoenix Strife Type 0,1
Retro-Grade TG2,1
Retro-Grade TG2,1
Retro-Grade TG2,1
Simulator Gauntlets,1
Simulator Gauntlets,1
Sovereign Gauntlets,1
Sovereign Gauntlets,1
Terra Concord Fists,1
Terra Concord Fists,1
Terra Concord Fists,1
Terra Concord Fists,1
The Shelter in Place,1
