Nombre,Temporada
,
An Insurmountable Skullfort,1.0
Mask of the Quiet One,1.0
ACD/0 Feedback Fence,1.0
Doom Fang Pauldron,1.0
Synthoceps,1.0
Actium War Rig,1.0
Crest of Alpha Lupi,1.0
Hallowfire Heart,1.0
Dunemarchers,1.0
Lion Rampant,1.0
Pacekeepers,1.0
Annihilating Helm,1.0
Anti-Extinction Helm,1.0
Crushing Helm,1.0
Devastation Complex,1.0
Exodus Down Helm,1.0
Gensym Knight Helm,1.0
Helm of Optimacy,1.0
Helm of the Emperor's Champion,1.0
Iron Truage Helm,1.0
Kerak Type 2,1.0
Lost Pacific Helm,1.0
Mask of Rull,1.0
Noble Constant Type 2,1.0
Phoenix Strife Type 0,1.0
Retro-Grade TG2,1.0
Simulator Helm,1.0
Sovereign Helm,1.0
Terra Concord Helm,1.0
The Shelter in Place,1.0
Wildwood Helm,1.0
Annihilating Guard,1.0
Anti-Extinction Gauntlets,1.0
Arms of Optimacy,1.0
Crushing Guard,1.0
Exodus Down Gauntlets,1.0
Gauntlets of Rull,1.0
Gauntlets of the Emperor's Champion,1.0
Gensym Knight Gauntlets,1.0
Iron Truage Gauntlets,1.0
Lost Pacific Gauntlets,1.0
Simulator Gauntlets,1.0
Sovereign Gauntlets,1.0
Terra Concord Fists,1.0
Wildwood Gauntlets,1.0
Annihilating Plate,1.0
Anti-Extinction Plate,1.0
Chassis of Rull,1.0
Crushing Plate,1.0
Cuirass of the Emperor's Champion,1.0
Exodus Down Plate,1.0
Gensym Knight Plate,1.0
Iron Truage Plate,1.0
Lost Pacific Plate,1.0
Plate of Optimacy,1.0
Simulator Plate,1.0
Sovereign Plate,1.0
Terra Concord Plate,1.0
Wildwood Plate,1.0
Annihilating Greaves,1.0
Anti-Extinction Greaves,1.0
Crushing Greaves,1.0
Exodus Down Greaves,1.0
Gensym Knight Greaves,1.0
Greaves of Rull,1.0
Greaves of the Emperor's Champion,1.0
Iron Truage Greaves,1.0
Legs of Optimacy,1.0
Lost Pacific Greaves,1.0
Simulator Greaves,1.0
Sovereign Greaves,1.0
Terra Concord Greaves,1.0
Wildwood Greaves,1.0
Be Thy Champion,1.0
Binary Phoenix Mark,1.0
Coronation Mark,1.0
Entanglement Mark,1.0
Ere the End,1.0
Exodus Down Mark,1.0
Gensym Knight Mark,1.0
Lost Pacific Mark,1.0
Mark Judgment,1.0
Mark of Optimacy,1.0
Mark of Shelter,1.0
Mark of the Colliders,1.0
Mark of the Emperor's Champion,1.0
Mark of the Unassailable,1.0
Mark Relentless,1.0
Noble Constant Mark,1.0
Radegast's Iron Sash,1.0
Retro-Grade Mark,1.0
Shadow's Mark,1.0
Stella Incognita Mark,1.0
Terra Concord Mark,1.0
Wildwood Mark,1.0
Hardcase Helm,1.0
Legion-Bane,1.0
Primal Siege Type 1,1.0
RPC Valiant,1.0
Gearhead Gauntlets,1.0
Hardcase Brawlers,1.0
Songbreaker Gauntlets,1.0
Hardcase Battleplate,1.0
Shieldbreaker Plate,1.0
Hardcase Stompers,1.0
Mindbreaker Boots,1.0
Baseline Mark,1.0
Black Shield Mark,1.0
Mark of Confrontation,1.0
Mark of Inquisition,1.0
Orobas Vectura Mark,1.0
Unethical Experiments Mark,1.0
Atgeir 2T1,1.0
Fieldplate Type 10,1.0
Firebreak Field,1.0
Fortress Field,1.0
Atgeir Mark,1.0
Mark of the Fire,1.0
Mark of the Golden Citadel,1.0
Mark of the Longest Line,1.0
Brave Titan Helm,1.0
Refugee Helm,1.0
Renegade Helm,1.0
Wrecked Titan Helm,1.0
Brave Titan Gauntlets,1.0
Refugee Gloves,1.0
Renegade Gauntlets,1.0
Wrecked Titan Gauntlets,1.0
Brave Titan Plate,1.0
Refugee Plate,1.0
Renegade Plate,1.0
Wrecked Titan Plate,1.0
Brave Titan Greaves,1.0
Refugee Boots,1.0
Renegade Greaves,1.0
Wrecked Titan Greaves,1.0
Brave Titan's Mark,1.0
Dreamer's Mark,1.0
Mark of the Renegade,1.0
Refugee Mark,1.0
Tattered Titan Mark,1.0
Helm of Saint-14,2.0
Khepri's Horn,2.0
Aeon Safe,2.0
Mk. 44 Stand Asides,2.0
MK. 44 Stand Asides,2.0
Kairos Function Helm,2.0
Mask of Nohr,2.0
Omega Mechanos Helm,2.0
Winterhart Helm,2.0
Gauntlets of Nohr,2.0
Kairos Function Gauntlets,2.0
Omega Mechanos Gauntlets,2.0
Winterhart Gauntlets,2.0
Kairos Function Plate,2.0
Omega Mechanos Plate,2.0
Plate of Nohr,2.0
Winterhart Plate,2.0
Greaves of Nohr,2.0
Kairos Function Greaves,2.0
Omega Mechanos Greaves,2.0
Winterhart Greaves,2.0
Kairos Function Mark,2.0
Mark of Nohr,2.0
Omega Mechanos Mark,2.0
Quilted Winter Mark,2.0
Winterhart Mark,2.0
Eternal Warrior,3.0
Ashen Wake,3.0
Wormgod Caress,3.0
Armamentarium,3.0
BrayTech Sn0Helm,3.0
Hardy's Calm,3.0
Insight Unyielding Helm,3.0
Midnight Exigent Helm,3.0
Solstice Helm (Resplendent),3.0
Turris Shade Helm,3.0
BrayTech Thermal Grips,3.0
Hardy's Control,3.0
Insight Unyielding Gauntlets,3.0
Midnight Exigent Gauntlets,3.0
Solstice Gauntlets (Resplendent),3.0
Turris Shade Gauntlets,3.0
BrayTech Iron-Heart Engine,3.0
Hardy's Journey,3.0
Insight Unyielding Plate,3.0
Midnight Exigent Plate,3.0
Solstice Plate (Resplendent),3.0
Turris Shade Plate,3.0
BrayTech Sn0Boots,3.0
Hardy's Steps,3.0
Insight Unyielding Greaves,3.0
Midnight Exigent Greaves,3.0
Solstice Greaves (Resplendent),3.0
Turris Shade Greaves,3.0
Anti-Hero Victory,3.0
BrayTech Absolute Zero Mark,3.0
Hardy's Orders,3.0
Midnight Exigent Mark,3.0
Solstice Mark (Resplendent),3.0
Turris Shade Mark,3.0
Solstice Helm (Rekindled),3.0
Soltice Gaunlets (Rekindled),3.0
Solstice Plate (Rekindled),3.0
Solstice Greaves (Rekindled),3.0
Solstice Mark (Rekindled),3.0
Solstice Helm (Scorched),3.0
Solstice Gauntlets (Scorched),3.0
Solstice Plate (Scorched),3.0
Solstice Greaves (Scorched),3.0
Solstice Mark (Scorched),3.0
One-Eyed Mask,4.0
Ursa Furiosa,4.0
Hearth of Inmost Light,4.0
Antaeus Wards,4.0
Ancient Apocalypse Helm,4.0
Dragonfly Regalia Helm,4.0
Helm of the Great Hunt,4.0
Iron Remembrance Helm,4.0
Lustrous Chromite Helm,4.0
Mimetic Savior Helm,4.0
Prodigal Helm,4.0
Reverie Dawn Helm,4.0
Scatterhorn Helm,4.0
Tangled Web Helm,4.0
Torobatl Celebration Mask,4.0
Vigil of Heroes,4.0
Wing Discipline,4.0
Ancient Apocalypse Gauntlets,4.0
Dragonfly Regalia Gauntlets,4.0
Gauntlets of the Great Hunt,4.0
Iron Remembrance Gauntlets,4.0
Lustrous Chromite Gauntlets,4.0
Mimetic Savior Gauntlets,4.0
Prodigal Gauntlets,4.0
Reverie Dawn Gauntlets,4.0
Scatterhorn Gauntlets,4.0
Tangled Web Gauntlets,4.0
Ancient Apocalypse Plate,4.0
Dragonfly Regalia Plate,4.0
Iron Remembrance Plate,4.0
Lustrous Chromite Plate,4.0
Mimetic Savior Plate,4.0
Plate of the Great Hunt,4.0
Prodigal Cuirass,4.0
Reverie Dawn Plate,4.0
Scatterhorn Plate,4.0
Scorned Baron Plate,4.0
Tangled Web Plate,4.0
Ancient Apocalypse Greaves,4.0
Dragonfly Regalia Greaves,4.0
Greaves of the Great Hunt,4.0
Iron Remembrance Greaves,4.0
Lustrous Chromite Greaves,4.0
Mimetic Savior Greaves,4.0
Prodigal Greaves,4.0
Reverie Dawn Greaves,4.0
Scatterhorn Greaves,4.0
Tangled Web Greaves,4.0
Ancient Apocalypse Mark,4.0
Dragonfly Regalia Mark,4.0
Lustrous Chromite Mark,4.0
Mark of Remembrance,4.0
Mark of the Great Hunt,4.0
Memory of Cayde Mark,4.0
Mimetic Savior Mark,4.0
Prodigal Mark,4.0
Reverie Dawn Mark,4.0
Scatterhorn Mark,4.0
Tangled Web Mark,4.0
Hardcase Helm,4.0
Legion-Bane,4.0
Primal Siege Type 1,4.0
RPC Valiant,4.0
Hardcase Brawlers,4.0
Hardcase Battleplate,4.0
Hardcase Stompers,4.0
Baseline Mark,4.0
Black Shield Mark,4.0
Mark of Confrontation,4.0
Mark of Inquisition,4.0
Bulletsmith's Ire Helm,5.0
Forged Machinist Helm,5.0
Froststrike Helm,5.0
Iron Fellowship Helm,5.0
Star-Crossed Helm,5.0
Bulletsmith's Ire Gauntlets,5.0
Forged Machinist Gauntlets,5.0
Froststrike Gauntlets,5.0
Iron Fellowship Gauntlets,5.0
Star-Crossed Fists,5.0
Bulletsmith's Ire Plate,5.0
