Nombre,Temporada
,
Crown of Tempests,1.0
Eye of Another World,1.0
Nezarec's Sin,1.0
Skull of Dire Ahamkara,1.0
Karnstein Armlets,1.0
Sunbracers,1.0
Winter's Guile,1.0
Starfire Protocol,1.0
Wings of Sacred Dawn,1.0
Lunafaction Boots,1.0
Transversive Steps,1.0
Ankaa Seeker IV,1.0
Anti-Extinction Hood,1.0
Channeling Cowl,1.0
Ego Talon IV,1.0
Exodus Down Hood,1.0
Focusing Cowl,1.0
Gensym Knight Hood,1.0
Headpiece of the Emperor's Minister,1.0
Heiro Camo,1.0
High-Minded Complex,1.0
Hood of Optimacy,1.0
Iron Truage Hood,1.0
Lost Pacific Helmet,1.0
Mask of the Fulminator,1.0
Philomath Cover,1.0
Simulator Hood,1.0
Sovereign Hood,1.0
Tesseract Trace IV,1.0
Wildwood Cover,1.0
Xenos Vale IV,1.0
Anti-Extinction Gloves,1.0
Arms of Optimacy,1.0
Channeling Wraps,1.0
Exodus Down Gloves,1.0
Focusing Wraps,1.0
Gensym Knight Gloves,1.0
Iron Truage Gloves,1.0
Lost Pacific Gloves,1.0
Philomath Gloves,1.0
Simulator Gloves,1.0
Sovereign Gloves,1.0
Wildwood Gloves,1.0
Wraps of the Emperor's Minister,1.0
Wraps of the Fulminator,1.0
Anti-Extinction Robes,1.0
Channeling Robes,1.0
Exodus Down Robes,1.0
Focusing Robes,1.0
Gensym Knight Robes,1.0
Iron Truage Vestments,1.0
Lost Pacific Robes,1.0
Philomath Robes,1.0
Robes of Optimacy,1.0
Robes of the Emperor's Minister,1.0
Robes of the Fulminator,1.0
Simulator Robes,1.0
Sovereign Robes,1.0
Wildwood Robes,1.0
Anti-Extinction Boots,1.0
Boots of the Emperor's Minister,1.0
Boots of the Fulminator,1.0
Channeling Treads,1.0
Exodus Down Boots,1.0
Focusing Boots,1.0
Gensym Knight Boots,1.0
Iron Truage Legs,1.0
Legs of Optimacy,1.0
Lost Pacific Boots,1.0
Philomath Boots,1.0
Simulator Legs,1.0
Sovereign Legs,1.0
Wildwood Boots,1.0
Be Thy Cipher,1.0
Binary Phoenix Bond,1.0
Bond of Optimacy,1.0
Bond of the Emperor's Minister,1.0
Bond Relentless,1.0
Coronation Bond,1.0
Ego Talon Bond,1.0
Entanglement Bond,1.0
Exodus Down Bond,1.0
Gensym Knight Bond,1.0
Hodiocentrist Bond,1.0
Judgement's Wrap,1.0
Lost Pacific Bond,1.0
Massyrian's Draw,1.0
Philomath Bond,1.0
Shadow's Bond,1.0
Stella Incognita Bond,1.0
The Beyond,1.0
Timur's Iron Bond,1.0
Wildwood Bond,1.0
Xenos Vale Bond,1.0
Atonement Tau,1.0
Chiron's Cure,1.0
Farseeker's Casque,1.0
Prophet Snow,1.0
Farseeker's Reach,1.0
Gearhead Gloves,1.0
Songbreaker Gloves,1.0
Farseeker's Intuition,1.0
Shieldbreaker Robes,1.0
Farseeker's March,1.0
Mindbreaker Boots,1.0
Bond of Chiron,1.0
Bond of Forgotten Wars,1.0
Fatum Praevaricator,1.0
Orobas Vectura Bond,1.0
Stagnatious Rebuke,1.0
Unethical Experiments Bond,1.0
Cosmic Wind,1.0
Cry Defiance,1.0
Raven Shard,1.0
Vector Home,1.0
Cosmic Wind III,1.0
Bond of Symmetry,1.0
Bond of the Raven Shard,1.0
Homeward,1.0
Rite of Refusal,1.0
Aspirant Helm,1.0
Damaged Warlock Hood,1.0
Refugee Helm,1.0
Wise Warlock Hood,1.0
Aspirant Gloves,1.0
Damaged Warlock Gloves,1.0
Refugee Gloves,1.0
Wise Warlock Gloves,1.0
Aspirant Robes,1.0
Damaged Warlock Robe,1.0
Refugee Vest,1.0
Wise Warlock Robes,1.0
Aspirant Boots,1.0
Damaged Warlock Boots,1.0
Refugee Boots,1.0
Wise Warlock Boots,1.0
Bond of Insight,1.0
Bond of Refuge,1.0
Dreamer's Bond,1.0
Shattered Warlock Bond,1.0
Wise Warlock Bond,1.0
The Stag,2.0
Aeon Soul,2.0
Ophidian Aspect,2.0
Vesper of Radius,2.0
Kairos Function Crown,2.0
Mask of Sekris,2.0
Omega Mechanos Crown,2.0
Winterhart Cover,2.0
Kairos Function Wraps,2.0
Omega Mechanos Gloves,2.0
Winterhart Gloves,2.0
Wraps of Sekris,2.0
Kairos Function Robes,2.0
Omega Mechanos Robes,2.0
Robes of Sekris,2.0
Winterhart Robes,2.0
Boots of Sekris,2.0
Kairos Function Boots,2.0
Omega Mechanos Boots,2.0
Winterhart Boots,2.0
Bond of Sekris,2.0
Festive Winter Bond,2.0
Kairos Function Bond,2.0
Omega Mechanos Bond,2.0
Winterhart Bond,2.0
Apotheosis Veil,3.0
Verity's Brow,3.0
Claws of Ahamkara,3.0
Sanguine Alchemy,3.0
Sanguine Alchemy,
BrayTech Researcher's Hood,3.0
Insight Vikti Hood,3.0
Insigne Shade Cover,3.0
Mihaylova's Triumph,3.0
Solstice Hood (Resplendent),3.0
Yuga Sundown Helmet,3.0
BrayTech Researcher's Gloves,3.0
Insight Vikti Gloves,3.0
Insigne Shade Gloves,3.0
Mihaylova's Instruments,3.0
Solstice Gloves (Resplendent),3.0
Yuga Sundown Gloves,3.0
BrayTech Researcher's Robes,3.0
Insight Vikti Robes,3.0
Insigne Shade Robes,3.0
Mihaylova's Choice,3.0
Solstice Robes (Resplendent),3.0
Yuga Sundown Robes,3.0
BrayTech Researcher's Boots,3.0
Insight Vikti Boots,3.0
Insigne Shade Boots,3.0
Mihaylova's Path,3.0
Solstice Boots (Resplendent),3.0
Yuga Sundown Boots,3.0
BrayTech Researcher's Bond,3.0
Insigne Shade Bond,3.0
Mihaylova's Tale,3.0
Solstice Bond (Resplendent),3.0
Synaptic Construct,3.0
Yuga Sundown Bond,3.0
Solstice Hood (Rekindled),3.0
Solstice Gloves (Rekindled),3.0
Solstice Robes (Rekindled),3.0
Solstice Boots (Rekindled),3.0
Solstice Bond (Rekindled),3.0
Solstice Hood (Scorched),3.0
Solstice Gloves (Scorched),3.0
Solstice Robes (Scorched),3.0
Solstice Boots (Scorched),3.0
Solstice Bond (Scorched),3.0
Contraverse Hold,4.0
Chromatic Fire,4.0
Phoenix Protocol,4.0
Geomag Stabilizers,4.0
Ancient Apocalypse Hood,4.0
Dragonfly Regalia Mandible,4.0
Eimin-Tin Ritual Mask,4.0
Hood of the Great Hunt,4.0
Iron Remembrance Hood,4.0
Liminal Voyager Hood,4.0
Prodigal Hood,4.0
Reverie Dawn Hood,4.0
Scatterhorn Hood,4.0
Tangled Web Hood,4.0
Thorium Holt Hood,4.0
Vigil of Heroes,4.0
Wing Theorem,4.0
Ancient Apocalypse Gloves,4.0
Dragonfly Regalia Reaches,4.0
Gloves of the Great Hunt,4.0
Iron Remembrance Gloves,4.0
Liminal Voyager Gloves,4.0
Prodigal Gloves,4.0
Reverie Dawn Gloves,4.0
Scatterhorn Wraps,4.0
Tangled Web Gloves,4.0
Thorium Holt Gloves,4.0
Ancient Apocalypse Robes,4.0
Dragonfly Regalia Robes,4.0
Iron Remembrance Vestments,4.0
Liminal Voyager Robes,4.0
Prodigal Robes,4.0
Reverie Dawn Tabard,4.0
Robes of the Great Hunt,4.0
Scatterhorn Robe,4.0
Scorned Baron Robes,4.0
Tangled Web Robes,4.0
Thorium Holt Robes,4.0
Ancient Apocalypse Boots,4.0
Boots of the Great Hunt,4.0
Dragonfly Regalia Boots,4.0
Iron Remembrance Legs,4.0
Liminal Voyager Boots,4.0
Prodigal Steps,4.0
Reverie Dawn Boots,4.0
Scatterhorn Boots,4.0
Tangled Web Boots,4.0
Thorium Holt Boots,4.0
Ancient Apocalypse Bond,4.0
Bond of Remembrance,4.0
Bond of the Great Hunt,4.0
Dragonfly Regalia Bond,4.0
Liminal Voyager Bond,4.0
Memory of Cayde,4.0
Prodigal Bond,4.0
Reverie Dawn Bond,4.0
Scatterhorn Bond,4.0
Tangled Web Bond,4.0
Thorium Holt Bond,4.0
Atonement Tau,4.0
Chiron's Cure,4.0
Farseeker's Casque,4.0
Prophet Snow,4.0
Farseeker's Reach,4.0
Farseeker's Intuition,4.0
Farseeker's March,4.0
Bond of Chiron,4.0
Bond of Forgotten Wars,4.0
Fatum Praevaricator,4.0
Stagnatious Rebuke,4.0
Annealed Shaper Crown,5.0
Frostreach Hood,5.0
Gunsmith's Devotion Crown,5.0
Iron Fellowship Hood,5.0
Symmetrists' Mask,5.0
Annealed Shaper Gloves,5.0
Frostreach Gloves,5.0
Gunsmith's Devotion Gloves,5.0
Iron Fellowship Gloves,5.0
Symmetrists' Palms,5.0
Annealed Shaper Robes,5.0
Frostreach Robes,5.0
Gunsmith's Devotion Robes,5.0
Iron Fellowship Robes,5.0
Symmetrists' Habit,5.0
Annealed Shaper Boots,5.0
Frostreach Boots,5.0
Gunsmith's Devotion Boots,5.0
Iron Fellowship Boots,5.0
Symmetrists' Balance,5.0
Annealed Shaper Bond,5.0
Bond of Reciprocity,5.0
Frostreach Bond,5.0
Gunsmith's Devotion Bond,5.0
Iron Fellowship Bond,5.0
Gateway Artist,6.0
Illicit Collector Hood,6.0
Illicit Invader Hood,6.0
Illicit Reaper Hood,6.0
Illicit Sentry Hood,6.0
Inaugural Revelry Hood,6.0
Iron Symmachy Hood,6.0
Mantle of the Cormorant Blade,6.0
Notorious Collector Hood,6.0
Notorious Invader Hood,6.0
Notorious Reaper Hood,6.0
Notorious Sentry Hood,6.0
Outlawed Collector Hood,6.0
Outlawed Invader Hood,6.0
Outlawed Reaper Hood,6.0
Outlawed Sentry Hood,6.0
